Time;Tdry;Iet_h;Iet_n;Igl_h;Idir_n;Idif_h;Tdry_mod;Tdry_Ideal;;;
16/1/2002 02;3,4;0;1414;0;0;0;2,286;-3,833;;;
16/1/2002 03;3,5;0;1414;0;0;0;2,281;-3,362;;;
16/1/2002 04;3,6;0;1414;0;0;0;2,275;-2,593;;;
16/1/2002 05;3,8;0;1414;0;0;0;2,27;-1,578;;;
16/1/2002 06;3,9;0;1414;0;0;0;2,265;-0,386;;;
16/1/2002 07;4;0;1414;0;0;0;2,26;0,903;;;
16/1/2002 08;4;48;1414;4;0;4;2,257;2,2;;;
16/1/2002 09;4,1;234;1414;26;0;26;2,253;3,416;;;
16/1/2002 10;4,8;390;1414;71;0;71;2,25;4,47;;;
16/1/2002 11;5,5;494;1414;120;0;120;2,248;5,289;;;
16/1/2002 12;6,2;540;1414;158;5;156;2,246;5,817;;;
16/1/2002 13;6,2;524;1414;151;17;145;2,245;6,019;;;
16/1/2002 14;6,4;447;1414;145;9;142;2,245;5,881;;;
16/1/2002 15;6,6;315;1414;101;37;93;2,245;5,412;;;
16/1/2002 16;6,3;136;1414;25;0;25;2,244;4,644;;;
16/1/2002 17;6;3;1414;0;0;0;2,243;3,629;;;
16/1/2002 18;5,7;0;1414;0;0;0;2,242;2,436;;;
16/1/2002 19;5,8;0;1414;0;0;0;2,24;1,147;;;
16/1/2002 20;6;0;1414;0;0;0;2,238;-0,151;;;
16/1/2002 21;6,1;0;1414;0;0;0;2,235;-1,369;;;
16/1/2002 22;6,3;0;1414;0;0;0;2,232;-2,425;;;
16/1/2002 23;6,6;0;1414;0;0;0;2,229;-3,246;;;
17/1/2002 00;6,8;0;1414;0;0;0;2,227;-3,778;;;
17/1/2002 01;7;0;1414;0;0;0;2,224;-3,983;;;
